category,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,
Max Savings Annual,"$1,200,000","$1,800,000","$2,580,000","$3,600,000","$5,100,000","$7,200,000","$10,200,000",
List %,28%,28%,28%,28%,28%,28%,28%,
List Price,"$336,000","$504,000","$722,400","$1,008,000","$1,428,000","$2,016,000","$2,856,000",
Standard %,18.2%,16.8%,15.7%,14.7%,13.6%,12.7%,11.6%,
Standard,"$218,400","$302,400","$405,060","$529,200","$693,600","$914,400","$1,183,200",
Aggressive %,16.7%,15.3%,14.2%,13.2%,12.1%,11.2%,10.1%,
Aggressive,"$200,400","$275,400","$366,360","$475,200","$617,100","$806,400","$1,030,200",
Very Aggressive %,14.7%,13.6%,12.7%,11.8%,11.1%,9.9%,8.9%,
Very Aggressive,"$176,400","$244,800","$327,660","$424,800","$566,100","$712,800","$907,800",
AE Floor %,13.7%,12.6%,11.7%,10.8%,10.1%,8.9%,7.9%,
AE Floor Price ,"$164,400","$226,800","$301,860","$388,800","$515,100","$640,800","$805,800",
VP Floor %,11.7%,10.6%,9.7%,8.8%,8.1%,6.9%,5.9%,
VP Floor Price,"$140,400","$190,800","$250,260","$316,800","$413,100","$496,800","$601,800",